compact_domain,n,engaged,engagement_rate,engagement_percent,success_among_engaged_parseable,engaged_parseable,success_among_engaged_parseable_rate,success_unconditional,success_unconditional_rate,success_unconditional_percent
business_organizations,560,148,0.2642857142857143,26.428571428571427,119,148,0.8040540540540541,119,0.2125,21.25
governance_law_history,336,85,0.25297619047619047,25.297619047619047,70,85,0.8235294117647058,70,0.20833333333333334,20.833333333333332
physical_infrastructure_environment,448,69,0.15401785714285715,15.401785714285714,52,69,0.7536231884057971,52,0.11607142857142858,11.607142857142858
finance_markets,336,51,0.15178571428571427,15.178571428571429,38,51,0.7450980392156863,38,0.1130952380952381,11.30952380952381
health_biomedicine,560,69,0.12321428571428572,12.321428571428571,44,69,0.6376811594202898,44,0.07857142857142857,7.857142857142857
digital_information_systems,728,84,0.11538461538461539,11.538461538461538,45,84,0.5357142857142857,45,0.061813186813186816,6.181318681318682
