attacker_family,n,engaged,engagement_rate,engagement_percent,success_among_engaged_parseable,engaged_parseable,success_among_engaged_parseable_rate,success_unconditional,success_unconditional_rate,success_unconditional_percent
qwen32b,371,154,0.41509433962264153,41.509433962264154,104,154,0.6753246753246753,104,0.2803234501347709,28.032345013477087
qwen8b,371,105,0.2830188679245283,28.30188679245283,78,105,0.7428571428571429,78,0.21024258760107817,21.024258760107816
mistralsmall32,371,119,0.32075471698113206,32.075471698113205,76,119,0.6386554621848739,76,0.20485175202156333,20.485175202156334
glm46,371,55,0.14824797843665768,14.824797843665769,47,55,0.8545454545454545,47,0.12668463611859837,12.668463611859838
kimik2,371,33,0.0889487870619946,8.89487870619946,30,33,0.9090909090909091,30,0.08086253369272237,8.086253369272237
gptoss20b,371,14,0.03773584905660377,3.7735849056603774,13,14,0.9285714285714286,13,0.03504043126684636,3.504043126684636
gptoss120b,371,15,0.04043126684636118,4.0431266846361185,11,15,0.7333333333333333,11,0.029649595687331536,2.964959568733154
deepseekr1qwen8b,371,11,0.029649595687331536,2.964959568733154,9,11,0.8181818181818182,9,0.02425876010781671,2.4258760107816713
